"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"94","Didi    Namaste , I know english ...<U+0001F61A>","anu chhabra","https://yt3.ggpht.com/a/AATXAJx38F8rUZ1lREd8BFlTvd9LX7ftHUA5XCHNrA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCEE17PuBchbOlqa0wuavkPw","UCEE17PuBchbOlqa0wuavkPw","0","0","2020-04-20T02:23:46.000Z","2020-04-20T02:23:46.000Z","UgwuokL4BPs4Peh5NiF4AaABAg.93ju2Qo168K97eOrntJ1_Q","UgwuokL4BPs4Peh5NiF4AaABAg","ii7obeNa20g"
"95","@anu chhabra Sorry for not replying.  I do not speak Hindi.  I am from Guyana.  My grandparents came from India.  My heart and soul is very connected to my motherland.","Kausalya Bahadur","https://yt3.ggpht.com/a/AATXAJwAWVmLKAO6DzIGDwalhg-QZxzZgU7-sP_AzA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCrpPUdSenQ7BTUgMIhSnvvg","UCrpPUdSenQ7BTUgMIhSnvvg","0","0","2020-04-19T19:10:04.000Z","2020-04-19T19:10:04.000Z","UgwuokL4BPs4Peh5NiF4AaABAg.93ju2Qo168K97dcEG5oQVX","UgwuokL4BPs4Peh5NiF4AaABAg","ii7obeNa20g"
"96","Didi  pranam  ap kon h apne  bataya nheee phele  bhee   ham pucch  chuke h ..","anu chhabra","https://yt3.ggpht.com/a/AATXAJx38F8rUZ1lREd8BFlTvd9LX7ftHUA5XCHNrA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCEE17PuBchbOlqa0wuavkPw","UCEE17PuBchbOlqa0wuavkPw","0","0","2020-04-19T06:03:43.000Z","2020-04-19T06:03:43.000Z","UgwuokL4BPs4Peh5NiF4AaABAg.93ju2Qo168K97cDEqQww5s","UgwuokL4BPs4Peh5NiF4AaABAg","ii7obeNa20g"
"97","DHARMA HARI KRISHNA","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T11:52:01.000Z","2020-03-13T11:52:01.000Z","UgxNy4RzP4a_Wu_tvYx4AaABAg.93ftal4Vs3L968ZgUrSliX","UgxNy4RzP4a_Wu_tvYx4AaABAg","ii7obeNa20g"
"98","KRIHSNA'S","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T11:58:50.000Z","2020-03-13T11:58:50.000Z","UgxR1HibUk7XLetQBvN4AaABAg.93WV6Irqqpr968_TQgU_FS","UgxR1HibUk7XLetQBvN4AaABAg","ii7obeNa20g"
"99","No. The great swamy's speech was never recorded(as per Sriramakrishna Mission sources).","Mohanan a g","https://yt3.ggpht.com/a/AATXAJzqrz4M4lh5PkCuyWUB39TDOlYS1ah91GW6kQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCIaE_UvVx9dZKtWB0IGWlZQ","UCIaE_UvVx9dZKtWB0IGWlZQ","0","1","2020-04-03T10:39:43.000Z","2020-04-03T10:39:43.000Z","UgwgkTNPJQw9N0vu_-V4AaABAg.93OulDw8j6396zW6P_RYyf","UgwgkTNPJQw9N0vu_-V4AaABAg","ii7obeNa20g"
"100","says the same,as SRI PRABHUPADA GITA trancelater","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T11:48:37.000Z","2020-03-13T11:49:25.000Z","UgzXrl1G_W7_0qRgidN4AaABAg.93MhHQQ8NTt968ZIbMMqUi","UgzXrl1G_W7_0qRgidN4AaABAg","ii7obeNa20g"
"101","only tells KRISHNA teaching","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T11:54:20.000Z","2020-03-13T11:54:20.000Z","UgwagSWDjBFMkVisz7N4AaABAg.93-ylAbMzyp968ZxV0vgBr","UgwagSWDjBFMkVisz7N4AaABAg","ii7obeNa20g"
"102","dit no of you read the GITA","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T12:07:44.000Z","2020-03-13T12:07:44.000Z","UgwzmyzCnsiIU0ZOc_94AaABAg.92zbNhQ_As5968aUbzJQI8","UgwzmyzCnsiIU0ZOc_94AaABAg","ii7obeNa20g"
"103","Pray at the foot of great God swami Vivekananda","Santosh Panda","https://yt3.ggpht.com/a/AATXAJwO8fPLckzf_Lh6SFgs9JgrkR7388aaWv55UA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtH6FXOD1HZ__rj59jGIJeg","UCtH6FXOD1HZ__rj59jGIJeg","0","1","2019-12-29T06:07:54.000Z","2019-12-29T06:07:54.000Z","Ugz7PjMgWiJUGT7qpa14AaABAg.92II9nMd8Ny936pgaKQhjk","Ugz7PjMgWiJUGT7qpa14AaABAg","ii7obeNa20g"
"104","this is not HIS voice","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T11:50:44.000Z","2020-03-13T11:50:44.000Z","Ugxln0Ix1mamW1NZj-V4AaABAg.92-hdopWqcO968ZYA9-lhs","Ugxln0Ix1mamW1NZj-V4AaABAg","ii7obeNa20g"
"105","A real gift for human kind n INDIA to hv ,with vast knowledge , being respected in the whole world god bless,
Ashokumaran","Khairul Anuar Asokumaran","https://yt3.ggpht.com/a/AATXAJzUbDZsd73z6HRISi5qEh8z4hBFDEieeBNyGA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJh7MHh6Kwka7Q8rGqV63Kg","UCJh7MHh6Kwka7Q8rGqV63Kg","0","0","2020-04-25T16:34:49.000Z","2020-04-25T16:34:49.000Z","UgzyXniXrIcVrYLqno54AaABAg.91ke2bEwbk597snEPvHW7S","UgzyXniXrIcVrYLqno54AaABAg","ii7obeNa20g"
"106","KRISHNA,S teaching","Ari Ari","https://yt3.ggpht.com/a/AATXAJxCIhtsCb8Bh3d6t-EAGQQiLl7LVN60LgWtDg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUxerd8_IoaNt8QzW4Tqedw","UCUxerd8_IoaNt8QzW4Tqedw","0","0","2020-03-13T11:55:40.000Z","2020-03-13T11:55:40.000Z","UgzyXniXrIcVrYLqno54AaABAg.91ke2bEwbk5968_6GSMtgI","UgzyXniXrIcVrYLqno54AaABAg","ii7obeNa20g"
